Slug,Title,Artist,Year,Rating,Review,FavoriteTrack,Image
steps-2,STEPS +2,Yurie Kokubu / __ ___,,9,"This album has the same nostalgic upbeat energy from any other classic city pop album, but the songs elicit so many different emotions in me each time I listen. In your eyes makes me feel like I am floating. It's inexplicable depth captures the soul of finding both peace and ecstacy when looking into the eyes of someone you love. Refrain brings a bittersweet upbeat energy that feels like you are wishing the best for someone you loved very deeply but is no longer in your life. The sadness, joy, and passion all form a beautiful union to process such difficult emotions.",Refrain,
10th-anniversary-best,10th Anniversary Best,Blu-Swing,,8,"Blu-swing plays funky jazz which I really enjoy. They are meticulous in producing beautiful sounds, but at the same time, one can tell they are having lots of fun. If I made music like this, I don't know if I would want anything more out of myself.",Flash,
24k-magic,24K Magic,Bruno Mars,,9,,,
4-decadas-20-boleros,4 Decadas 20 Boleros,Los Cadetes De Linares,,8,,Añorando Tus Besos,
akina-box-1982-1991,AKINA BOX 1982-1991,中森明菜 [Akina Nakamori],,7,,OH NO - OH YES,
afrodisiaco,Afrodisíaco,Rauw Alejandro,,8,,De Cora <3,
age-ain-t-nothing-but-a-number,Age Ain’t Nothing but a Number,Aaliyah,,9,,At Your Best (You are Love),
amor-prohibido,Amor Prohibido,Selena,,9,,No Me Queda Mas,
an-evening-with-silk-sonic,An Evening With Silk Sonic,"Bruno Mars, Anderson .Paak, Silk Sonic",,7,,Love's Train,
angel-touch,Angel Touch,Cindy,,7,,Destiny,
bikini,BiKiNi,Anri,,8,,Lady Sunshine,
armageddon,Armageddon,aespa,,5,,Bahama,
aura,Aura,Ozuna,,7,,Comentale,
between-1-2,BETWEEN 1&2,TWICE,,7,,Basics,
bkln,BKLN,Satellite Lovers,,4,,,
bully,BULLY,Kanye West,,4,,Preacher Man,
back-from-the-dead-2,Back From the Dead 2,Chief Keef,,6,,Faneto,
back-from-the-dead-3,Back From the Dead 3,Chief Keef,,4,,Free Smoke,
back-from-the-dead,Back from the Dead,Chief Keef,,7,,Winnin,
bad-bunny,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,,6,,Booker T,
barrio-fino-bonus-tracks,Barrio Fino [Bonus Tracks],Daddy Yankee,,6,,Gasolina,
bible,Bible,Seiko Matsuda,,9,,Only My Love,
blink-182-greatest-hits,Blink-182: Greatest Hits,Blink-182,,6,,All The Small Things,
brandy,Brandy,Brandy,,9,,Always on My Mind,
brasilian-skies,Brasilian Skies,Masayoshi Takanaka,,8,,I Remember Clifford,
chat-shire,CHAT-SHIRE,IU,,6,,Shoes,
citopia,CITOPIA,Phùng Khánh Linh,,7,,Sentimental Saigon,
certified-lover-boy,Certified Lover Boy,Drake,,4,,Papi's Home,
charm,Charm,Clairo,,7,,Add Up My Love,
chill-kill,Chill Kill,Red Velvet,,8,,Will I Ever See You Again?,
circus-1,Circus 1,Circus,,8,,Mr. Summertime,
colores,Colores,J Balvin,,5,,Arcoiris,
communication,Communication,Junko Yagami,,6,,Miss D.J.,
corridos-de-caballos,Corridos De Caballos,Laberinto,,6,,El Cadete,
cosa-nuestra,Cosa Nuestra,Rauw Alejandro,,7,,Khe?,
cosa-nuestra-capitulo-0,Cosa nuestra: Capítulo 0,Rauw Alejandro,,5,,Carita Linda,
cosmic,Cosmic,Red Velvet,,7,,Last Drop,
country-grammar,Country Grammar,Nelly,,9,,Batter Up,
crazysexycool,CrazySexyCool,TLC,,8,,Diggin' On You,
data,DATA,Tainy,,8,,Sci-Fi,
daydream,Daydream,Mariah Carey,,9,,Underneath the Stars,
debi-tirar-mas-fotos,DeBÍ TiRAR MáS FOToS,Bad Bunny,,9,,Turista,
desde-la-cantina-vol-1,"Desde la Cantina, Vol. 1",Pesado,,9,,"Cielo Azul, Cielo Nublado",
desde-la-cantina-vol-2,"Desde la Cantina, Vol. 2",Pesado,,8,,Quiero que Sepas,
die-lit,Die Lit,Playboi Carti,,6,,Fell in Luv,
doo-wops-hooligans,Doo-Wops & Hooligans,Bruno Mars,,9,,Talking to the Moon,
drama,Drama,aespa,,5,,YOLO,
dreaming-of-you,Dreaming Of You,Selena,,7,,I'm Getting Used to You/Como La Flor,
esquemas,ESQUEMAS,Becky G,,7,,BAILE CON MI EX,
evolution,EVOLution <⟡>,tripleS,,4,,Heavy Metal Wings,
el-karma,El Karma,Ariel Camacho y Los Plebes Del Rancho,,8,,Te Metiste,
energia-lado-b,Energía Lado B,J Balvin,,6,,Solitario,
expressions,Expressions,Mariya Takeuchi,,9,,Plastic Love,
f-a-m-e,F.A.M.E.,Maluma,,7,,Corazon,
finally-rich,Finally Rich,Chief Keef,,8,"A recurring question I ask people is: what's your favorite Chief Keef song? I have managed to split people up into three categories based on their responses: those who have no idea who Chief Keef is and are thus completely tapped out of the scene, individuals who are aware of Chief Keef and maybe one or two of his songs(usually Love Sosa or Hate Bein' Sober), and people who will pull out something ridiculous like Laughin to the Bank. I personally love Chief Keef, and this album is what started it all. At 15 years old, Chief Keef went into the studio and dropped this iconic album. No one in the music industry EVER had this kind of motion at 15 years old. IU and Aaliyah debuted at similar ages didn't drop Finally Rich. Even though the album doesn't have particularly deep messages, its very existence as one of the most iconic and influentual albums ever made(it basically kickstarted the drill scene) is nothing short of mindboggling.",Hallelujah,
flying-beagle,Flying Beagle,菊池ひみこ,,,,,
formula-vol-3,Formula Vol. 3,Romeo Santos,,,,,
formula-of-love-o-t-3,Formula of Love: O+T=<3,TWICE,,,,,
formula-vol-2,"Formula, Vol. 2",Romeo Santos,,,,,
formula-vol-1-deluxe-edition,Fórmula Vol. 1 (Deluxe Edition),Romeo Santos,,,,,
ghetto-gods,GHETTO GODS,EARTHGANG,,7,,,
golden,Golden,Romeo Santos,,8,,,
graduation,Graduation,Kanye West,,9,,,
hablemos,Hablemos,Ariel Camacho y Los Plebes Del Rancho,,8,,,
i-admit-it,I Admit It,R. Kelly,,3,,,
i-care-4-u,I Care 4 U,Aaliyah,,8,,,
i-wanna-dance-with-somebody-the-movie-whitney-new-classic-and-reimagined,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,,,,,
i-wish-you-love-more-from-the-bodyguard,I Wish You Love: More from The Bodyguard,Whitney Houston,,7,"While this doesn't have the same artistic value as an album since it is largely a movie OST, Whitney Housoton delivers one of the greatest performances of all time when she sings the song ""I Will Always Love You"". The album has other amazing songs such as Houston's cover of the fabulous Chaka Khan's ""I'm Every Woman"". She has other infectious songs like Queen of the Night, so this album has no shortage of wonderful",I Will Always Love You,
invu,INVU,TAEYEON,,,,,
imagination,Imagination,Hitomi Tohyama,,,,,
just-call-me-penny,Just Call Me Penny,Hitomi Tohyama,,,,,
kind-of-blue,Kind of Blue,Miles Davis,,10,"I find myself naturally resisting things regarded as the ""greatest"" in any category. Widely regarded as the greatest jazz album of all time, Kind of Blue holds a mythical level of hype and prestige amongst music enthusiasts. One day, I decided to sit down and listen to it from start to finish, and I realized why. Miles Davis is a magic man. In my opinion, music, in addition to all other art, is important if it can stir up emotion with you. The tecnhical talent and artistic ability to produce something so polished and honest is beyond anything I could ever hope to achieve even if I had one hundred years to try.",Freddie Freeloader,
love-heart,LOVE HEART,Rajie,,,,,
lamp-genso,Lamp Genso,Lamp,,,,,
late-registration,Late Registration,Kanye West,,,,Hey Mama,
love-deluxe,Love Deluxe,Sade,,9,,,
love-sandy,"Love, Sandy",Sandy Lam,,,,,
makuake,MAKUAKE,eill,,,,,
mint-jams-live,MINT JAMS(Live),Casiopea,,,,Tears of the Star,
